filename,layer,ticker_or_scope,size_bytes,size_human,publish_target,hf_path,release_asset,relative_path,source_archive,source_relpath,sha1_short,training_date,notes
best_model.pt,unknown,all,833817,814.3 KB,github_release,,checkpoints-unknown.tar.gz,unknown/lstm_1min/best_model.pt,毕设-20260311T013659Z-3-001,models/lstm_1min/best_model.pt,9ad81c824eda,2026-03-11,
timesfm_ft_AAPL_1hour_v2.pt,ceiling_baseline,AAPL,925228271,882.4 MB,not_redistributed,ceiling_baseline/timesfm_ft_AAPL_1hour_v2.pt,,,毕设-20260311T013659Z-3-001,timesfm_finetuned/timesfm_ft_AAPL_1hour_v2.pt,7b4fd7b5b2b1,2026-03-11,
timesfm_ft_AAPL_1hour_v3_directional.pt,ceiling_baseline,AAPL,925228271,882.4 MB,not_redistributed,ceiling_baseline/timesfm_ft_AAPL_1hour_v3_directional.pt,,,毕设-20260311T013659Z-3-001,timesfm_finetuned/timesfm_ft_AAPL_1hour_v3_directional.pt,7b4fd7b5b2b1,2026-03-11,
timesfm_ft_AAPL_1hour.pt,ceiling_baseline,AAPL,925228271,882.4 MB,not_redistributed,ceiling_baseline/timesfm_ft_AAPL_1hour.pt,,,毕设-20260311T013659Z-3-002,timesfm_finetuned/timesfm_ft_AAPL_1hour.pt,7b4fd7b5b2b1,2026-03-11,
timesfm_ft_QQQ_1hour.pt,ceiling_baseline,QQQ,925228271,882.4 MB,not_redistributed,ceiling_baseline/timesfm_ft_QQQ_1hour.pt,,,毕设-20260311T013659Z-3-002,timesfm_finetuned/timesfm_ft_QQQ_1hour.pt,7b4fd7b5b2b1,2026-03-11,
multiscale_cnn_bottom.pt,layer2_turning_point,all,232431,227.0 KB,github_release,,checkpoints-layer2_turning_point.tar.gz,layer2_turning_point/multiscale_cnn_bottom.pt,毕设-20260311T013659Z-3-004,data/results/multiscale_cnn_bottom.pt,0be2d5550871,2026-03-11,
multiscale_cnn_top.pt,layer2_turning_point,all,232293,226.8 KB,github_release,,checkpoints-layer2_turning_point.tar.gz,layer2_turning_point/multiscale_cnn_top.pt,毕设-20260311T013659Z-3-004,data/results/multiscale_cnn_top.pt,21c0f302617b,2026-03-11,
vol_lstm.pt,layer1_volatility,all,249834,244.0 KB,github_release,,checkpoints-layer1_volatility.tar.gz,layer1_volatility/vol_lstm.pt,毕设-20260311T013659Z-3-004,data/results/vol_lstm.pt,ddb972429caa,2026-03-11,
vol_lstm_regression.pt,layer1_volatility,all,48541,47.4 KB,github_release,,checkpoints-layer1_volatility.tar.gz,layer1_volatility/vol_lstm_regression.pt,毕设-20260311T013659Z-3-004,data/results/vol_lstm_regression.pt,377dac3987f9,2026-03-11,
vol_multiscale_lstm.pt,layer1_volatility,all,74277,72.5 KB,github_release,,checkpoints-layer1_volatility.tar.gz,layer1_volatility/vol_multiscale_lstm.pt,毕设-20260311T013659Z-3-004,data/results/vol_multiscale_lstm.pt,5a8b4347e5ca,2026-03-11,
vol_multiscale_lstm_regression.pt,layer1_volatility,all,74985,73.2 KB,github_release,,checkpoints-layer1_volatility.tar.gz,layer1_volatility/vol_multiscale_lstm_regression.pt,毕设-20260311T013659Z-3-004,data/results/vol_multiscale_lstm_regression.pt,871d03a6b250,2026-03-11,
best_model.pt,unknown,all,1834580215,1.7 GB,not_redistributed,unknown/best_model.pt,,,毕设-20260311T013659Z-3-004,models/multistock_phase1/best_model.pt,437ac47989cf,2026-03-11,
best_model.pt,unknown,all,833881,814.3 KB,github_release,,checkpoints-unknown.tar.gz,unknown/lstm_1min_fixed/best_model.pt,毕设-20260311T013659Z-3-005,models/lstm_1min_fixed/best_model.pt,4a5c69d96172,2026-03-11,namespace_dependent
