run,label,config_dir,total_return,annualized_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration_days,total_trades,win_rate,profit_factor,avg_trade_pnl,avg_win,avg_loss,avg_bars_held,long_trades,short_trades,is_final
1,EMA + RSI baseline,20260316_140416_ema_rsi_baseline,-0.43560183019021903,-0.1882555583707276,-1.5225021024537704,-2.1410138639246568,-0.39195142512510467,-0.480303288374674,940,2341,0.30713370354549335,0.9577352003114395,-0.0003740895027909107,0.027600355740700442,-0.012774598830824347,20.168304143528406,1174,1167,0
2,+ Position sizing,20260316_140416_ema_rsi_with_sizing,-0.3806973639564748,-0.16030716294380365,-0.8820633545790978,-1.3218375004370884,-0.34998528476031154,-0.45803972316604824,940,2322,0.31007751937984496,0.9707696931927812,-0.00025743453850464,0.027572704590168338,-0.012765362236784603,20.28337639965547,1164,1158,0
3,TP detection only (no Vol Gate),20260316_140416_ai_layer2_only,-0.3908153045586781,-0.1653356444453159,-1.9888889907517666,-3.968501915694861,-0.3289874891565161,-0.5025590634744694,911,3827,0.43506663182649596,1.7917228260212892,0.0014924466772627705,0.007763198807406988,-0.003336786577450504,7.679905931539064,362,3465,0
4,TP + Direction (no Vol Gate),20260316_140416_ai_no_vol_gate,-0.3888696124417991,-0.16436456296111834,-1.975670055854795,-3.9277860300010157,-0.32809244750830285,-0.5009702728891949,911,3821,0.435488092122481,1.7931938778642247,0.0014949893704863776,0.007760857593312938,-0.0033387633985369762,7.689086626537556,356,3465,0
5,+ Vol Gate,20260316_140416_ai_vol_gate_only,0.24613941173445175,0.08354505280549929,1.290756992156473,2.221783746325256,0.8888581156140446,-0.09399143838359889,768,2021,0.44977733795150915,2.0237647132356633,0.002145449402185574,0.009429324240297894,-0.0038087252631418453,7.094507669470559,215,1806,0
6,+ Trend bypass,20260316_140416_ai_baseline,0.2615625763509912,0.08841599681299539,1.351162360524324,2.3470421742108623,0.9548906582008052,-0.09259279693822522,768,2105,0.4503562945368171,2.047222043224452,0.002223508198564643,0.009651807951506506,-0.0038629465687550425,7.170071258907363,218,1887,0
7,+ Signal reversal,20260316_140416_ai_signal_reversal,0.2574128308314765,0.08710916176040828,1.360814553062407,2.159823163418273,0.8008033129581761,-0.10877722450800821,768,2126,0.4764816556914393,2.133997559727264,0.002241621491486095,0.0088531514771464,-0.003775880642812096,6.27516462841016,218,1908,0
8,+ Vol collapse,20260316_140416_ai_vol_collapse,0.26151171945625173,0.08839999753786398,1.385722818724205,2.198534438784302,0.8219126043874403,-0.10755401129752383,768,2131,0.4800563115908024,2.158817766270568,0.002245705959050657,0.00871488269977844,-0.003727189172505768,6.0389488503050215,218,1913,0
9,Tranche exit (standalone),20260316_140416_ai_tranche_exit,0.3600125393376863,0.11865062245610081,1.187088515442215,2.1966251692043426,0.6913052603760937,-0.17163274931764702,704,1785,0.3971988795518207,1.756648425402622,0.002605375311002445,0.015228355151304182,-0.005712182966668477,19.02296918767507,190,1595,0
10,+ Full + Tranche,20260316_140416_ai_full_tranche,0.6851090700179001,0.2095855480820903,2.1351401733165822,4.557821214703536,2.008547306342401,-0.10434683187211019,589,1883,0.47849176845459374,2.1458162629061652,0.0031686995681456595,0.012401783459585333,-0.005302795937136561,13.300053106744556,193,1690,0
11,+ Full + Trail-Stop (final),20260316_140416_ai_full_trail,0.6722642742209399,0.20621539725689697,2.1449007357101153,4.605434310352726,2.0836735491247023,-0.09896722898052948,589,1908,0.5010482180293501,2.168929017849437,0.0031048023046955134,0.01149771738774705,-0.005323377127444474,12.26153039832285,192,1716,1
